小区北门保安强制收取停车费用	保安不当行为
楼道内存放垃圾桶存在安全隐患问题	安全秩序没保障
物业增加小区垃圾桶异味扰民，希望取消#市政府门户网站互动交流平台#	管理简单粗暴
物业不履行职责	态度与规范
村内监控无法使用导致村民安全没有保障	监控实施损坏
碧桂园A区3号楼3单元的单元门锁故障问题#微博私信#	日常服务不到位
停车场乱收费“12315热线来电”	收费不合理
物业私自动用公共维修基金	缴纳与监管
物业保安不让自己汽车进小区	日常服务不到位
物业私自挪用公共维修基金问题	缴纳与监管
物业费交费规定不合理的问题	物业费
车辆被砸无人管问题	管理简单粗暴
金源泉小区业委会人员不作为	受破坏及法律权益保障
路长街居委会不让居民在小区内停车	安全没保障
小区安装摄像头的问题。	申请与使用
林校北里不让安装充电桩	申请与使用
石门苑17号楼4单元单元门故障	日常服务不到位
希望在老山西里小区37号楼一单元门口楼内安装监控	监控实施损坏
核实停车位置规划是否合理	安全没保障
物业不让安装充电桩	质量和水平
小区内停车秩序混乱	秩序混乱
小区开发商出售地下车位价格高，业主对此意见大	管理费
投诉望京街道不作为	态度与规范
物业不给开供暖收费发票问题	自供暖社区供暖费
处理物业不让自己缴纳供暖费的问题/保密	自供暖社区供暖费
希望小区门口可以加设拦车杆#微博私信#	秩序混乱
小区监控未修复	监控实施损坏
建议安装摄像头	安全秩序没保障
投诉物业不清理雪	态度与规范
物业另收取费用不合理	管理费
物业私自涨物业费不合理	物业费
物业私涨停车费，居民对此意见大	管理费
物业充电度数过少	缴纳与监管
小区物业保安队长服务态度不好	日常服务不到位
物业收取装修垃圾清运费不合理	垃圾清运费
物业事先未征得业主同意，私自使用公共维修基金维修楼顶，业主对此意见大	申请与使用
协调维修门禁	日常服务不到位
希望相关部门对消融学校经常开小区东门的问题进行加强管理	安全秩序没保障
非机动车车棚无人看守的问题	安全没保障
自家水表箱被锁	管理简单粗暴
物业是否有权利收取装修物业费管理费	管理费
任职不合理	组织、推选
希望相关部门解决自己交水费和房费物业不收的问题	缴纳与监管
咨询居委会和业主委员会是否同为政府基层的群众组织	组织、推选
违规停车	秩序混乱
十万平小区摄像头不开放	监控实施损坏
希望小区加强管理外来车辆进入	秩序混乱
希望增设监控摄像头问题	安全秩序没保障
协调更换单元门	安全秩序没保障
收取物业费不合理的问题	物业费
投诉朝阳医院安保人员态度恶劣	保安不当行为
物业未经业主同意私自上涨垃圾费和物业费等居民对此意见大	物业费
小区保安不作为	保安不当行为
物业帮助业主私自接小区公共用电为业主安装摄像头	监控实施损坏
拆除小区大门安装停车杆不合理问题	安全秩序没保障
龙旺同心物业收取高额物业费，暴力威胁小区业主	管理简单粗暴
田村路街道办事处不配合小区投票事宜延期问题	权力运作及监督
小区门禁故障无人维修问题	监控实施损坏
能否增加停车棚	安全没保障
物业不尽责/保密	态度与规范
物业迟迟不退装修押金	管理费
物业胡作非为问题	管理简单粗暴
小区设计大门不合理问题	质量和水平
投诉路劲（北京）物业管理有限公司收费及要求购买指定建筑材料等不合理	垃圾清运费
物业收取费用不合理	垃圾清运费
希望尽快成立小区居委会	组织、推选
小区物业安装阻拦杆，影响周边居民正常生活（要求转接领导）	秩序混乱
停车安全没保障	安全没保障
物业涨热水价格不合理的问题	物业费
 物业追缴供暖费不合理的问题	自供暖社区供暖费
集装箱安放位置不合理	申请与使用
物业不管理小区的绿地更改位停车场	秩序混乱
物业收取中水费不合理‘’12315热线来电‘’	物业费
希望小区物业合理规划小区车位阻止外来车辆进入	秩序混乱
物业禁止快递进出小区，影响业主收快递/保密	入户维修态度及质量差
物业要求业主缴纳装修押金及垃圾清运费，居民对此意见大	垃圾清运费
使用公共维修基金费用高问题。	缴纳与监管
小区摄像头故障	监控实施损坏
小黄庄居委会不开具监护人证明	权力运作及监督
建议新华里10号院增设监控设备	监控实施损坏
希望给小区门口安排站岗人员	安全秩序没保障
屋内被淹后物业迟迟不处理问题	质量和水平
村内监控无法使用导致村民安全没有保障	监控实施损坏
小区内环境脏乱差	质量和水平
375号文件是否还有效力、如果有按照文件执行、街道介入	组织、推选
小区变成公共停车场是否合理	安全没保障
东城区交道口街道禁止共享单车进入胡同不合理的问题	日常服务不到位
居委会擅自在小区举办商业活动的问题	权力运作及监督
监控损坏居委会未及时修理问题	监控实施损坏
投诉停车管理公司私自涨价	收费不合理
希望安装一个坐便马桶的问题	申请与使用
居民楼门禁故障，希望尽快维修	安全没保障
小区起名不合理问题	申请与使用
协调租地下室的问题	质量和水平
希望更换门窗玻璃	安全秩序没保障
房山区长阳镇碧桂园小区物业工作不到位问题	安全没保障
物业不退公共维修基金不合理	缴纳与监管
业委会动用公共维修基金用途的问题	权力运作及监督
小区物业设置门禁没有起到作用	日常服务不到位
租户把公共区域占为己有	入户维修态度及质量差
私人车位被占无人处理	安全没保障
断水电问题	威胁恐吓业主
希望小红门乡政府为恋日绿岛小区业主委员会备案#微博#	受破坏及法律权益保障
协调物业出具物业费涨价业主确认签字书问题	物业费
 小区内环境差无人清理	垃圾清运费
不按标注价格收费	管理费
取消入户拉票的方式炒物业的问题	质量和水平
居民未带门禁卡，物业阻止进入小区，希望灵活管理	入户维修态度及质量差
当代城市家园业主大队投票弄虚作假的问题	权力运作及监督
物业不服务业主不作为	日常服务不到位
建议在原香漫谷小区内设立居委会	组织、推选
小区收取供暖费过高，居民对此意见大	物业费
小区给租户办门禁微信授权收费问题#微博私信#	管理费
中控室工作人员擅自离岗	工作效率低
了解两限房停车场收费价格是否合理	收费不合理
小区内乱停车的问题	秩序混乱
不要换窗户把换窗户的钱用来安装电梯	申请与使用
物业安装热水加热器不合理	日常服务不到位
小区没有物业的问题	申请与使用
建议安装摄像头问题	监控实施损坏
投诉大西洋新城保安不当行为	保安不当行为
单元门禁损坏#评论#	安全秩序没保障
成立业委会困难的问题	组织、推选
住宅小区商业化问题/保密	管理简单粗暴
小区内随意堆放生活垃圾，希望清理	质量和水平
希望街道能尽快给业委会备案	权力运作及监督
物业不给安装充电桩	质量和水平
小区内上调物业费的程序违规	物业费
杨屯矿物业收取手工费不合理	物业费
物业无故不让自己车辆进入小区不合理	态度与规范
外来人员在小区内收取停车费，没有备案手续，希望查处	安全没保障
无法交电费	日常服务不到位
小区业委会管理混乱	权力运作及监督
居委会主任恐吓自己母亲的问题	管理简单粗暴
供暖公司不让停暖。	自供暖社区供暖费
物业没有通燃气的情况下就让收房不合理以及态度恶劣	保安不当行为
市民反映单元门坏了无人修	入户维修态度及质量差
物业不退还装修押金	管理费
不正规物业	管理费
小区内停车秩序差，希望加强管理	秩序混乱
天秀花园古月园小区开发商不给瑞赢物业提供办公场所不合理	管理简单粗暴
物业贴单子不合理的问题	保安不当行为
监控不能用	监控实施损坏
小区中控室被锁死	安全秩序没保障
车辆占用小区消防通道问题	秩序混乱
开放东门不合理	安全秩序没保障
希望尽快成立业委会问题	组织、推选
投诉物业不卖水	态度与规范
物业捆绑收费不合理	物业费
物业保安不让业主开车进小区	秩序混乱
希望成立业委会	组织、推选
协调帮助成立业主委员会问题	组织、推选
冯石环路414号院停车收费不合理问题	收费不合理
私自加装护栏	安全秩序没保障
车被人恶意划伤问题	安全没保障
物业停水、电、电梯强行收费问题	管理费
东城区环卫工作人员不合理收费	垃圾清运费
小区物业无理由阻拦车进小区	管理简单粗暴
物业不作为	威胁恐吓业主
小区停车位只售不租	收费不合理
强行收取物业费	物业费
往自家扔垃圾	质量和水平
希望小区增设监控探头	监控实施损坏
电梯内有异味物业不管	入户维修态度及质量差
小区物业强迫市民交车位费问题	管理费
建议拆掉内围墙【北京市委书记蔡奇】#人民网地方领导留言板#	态度与规范
物业不让安装充电桩，导致居民无法给新能源电动车充电	申请与使用
核实了解一下突然涨价是否合理	自供暖社区供暖费
物业乱作为态度差未经同意进入自家维修问题	态度与规范
居民拿钱维修公共设施不合理	申请与使用
占用消防通道开设店铺，存在安全隐患	秩序混乱
未经业主同意，物业私自收取楼道照明灯电费，业主对此意见大	管理费
村大队不让进快递车问题	保安不当行为
建议物业晚上不要开弥红灯的问题	安全没保障
居委会主任违规出租房屋的问题	权力运作及监督
沿海赛洛城小区南社区书记不履行职责	权力运作及监督
私自涨物业费问题	物业费
核实香海园小区住宅维修资金是如何进行审批和公开招标的	申请与使用
小区车位管理费收费太高	管理费
撤销反映	安全秩序没保障
撤销投诉	安全没保障
物业收费不合理	垃圾清运费
物业收取停车费不合理“12315热线来电”	管理简单粗暴
相关部门尽快帮助处理和平里街道办事处综合治理部门至今不给安装摄像头	监控实施损坏
小区停车场经营权非法转移#微博私信#	收费不合理
希望在小区加装摄像头	监控实施损坏
物业无资质乱收停车费，业主对此意见大	物业费
物业费太高	物业费
马路边乱停车	秩序混乱
希望星河湾双语幼儿园不被改成普惠幼儿园	安全秩序没保障
物业乱收物业费	物业费
小区物业不作为问题	入户维修态度及质量差
市政燃气改造的问题	安全秩序没保障
物业乱涨物业费不合理问题	管理费
物业未入户维修客厅灯	入户维修态度及质量差
京东借条报通讯录的问题	威胁恐吓业主
着火问题#微博评论#	安全秩序没保障
小区内监控设施损坏，希望及时维修	监控实施损坏
全封闭护栏不合理	安全秩序没保障
监控故障存在安全隐患	监控实施损坏
物业停车收费不合理	收费不合理
业主私占停车位，导致其他居民停车不便	秩序混乱
物业私吞了噪音扰民费问题	管理费
 应急物业不撤出小区	质量和水平
收费不合理	管理费
安装充电桩的问题	申请与使用
小区开后门后经常有学生和车辆穿行，希望封闭管理	管理简单粗暴
乱收公共维修基金	缴纳与监管
小区内车辆乱停乱放无人管理问题	秩序混乱
市民要求投诉宝山委员会阻挠小区成立业主委员会的问题	组织、推选
投诉物业管理差	态度与规范
小区安保不到位问题	保安不当行为
停车费用收取不合理	收费不合理
物业不让搬家公司车进小区	态度与规范
物业费缴纳时间不合理“12319热线来电”	物业费
物业不给验房不退押金不合理	管理费
小区物业把小区立体车车库对方开放不合理问题	安全没保障
物业捆绑收费不合理的问题	物业费
莱圳家园小区业主管理的公共收益资金一直被物业非法侵占#APP#	组织、推选
物业不作为	态度与规范
物业保安服务差	保安不当行为
投诉物业不作为	管理简单粗暴
 物业试暖未提前通知，导致居民家中被泡，希望协调处理	态度与规范
辅路监控设施不完善	监控实施损坏
希望更换楼管员	入户维修态度及质量差
通州区西集镇运潮馨苑小区的保安	保安不当行为
小区6号楼6单元1层楼道内停放电动自行车存隐患，希望尽快挪移车辆	安全秩序没保障
希望停车场摄像头照着停车场	监控实施损坏
单位收取卫生费不合理	垃圾清运费
北京华清物业管理有限公司高额收取供暖费不合理	自供暖社区供暖费
物业不清理垃圾	质量和水平
废旧自行车电动车私占停车位	秩序混乱
希望安装摄像头	监控实施损坏
楼上业主私改供暖管道跑水问题	管理简单粗暴
投诉国豪物业	质量和水平
小区存在很多问题	日常服务不到位
物业收垃圾清运费	垃圾清运费
小区监控设施拍不清车牌号问题	监控实施损坏
小区脏乱差问题	管理简单粗暴
小区存在高空抛物	安全秩序没保障
迎喜家园小区物业施工不合理问题【北京市委书记蔡奇】#人民网地方领导留言板#	缴纳与监管
社区管委会不作为	工作效率低
小区内多处监控故障	监控实施损坏
小区用900万做防水工程不合理	权力运作及监督
物业不作为	日常服务不到位
物业关太阳能无法使用	管理简单粗暴
希望撤销现有业主委员会#市政府门户网站互动交流平台#	组织、推选
小区地下车库没人管理问题	安全没保障
小区存在安全隐患问题	安全秩序没保障
2期物业收取水费不合理	物业费
碣石坪15号楼业委会强制破拆道路围墙的问题#微博# 	权力运作及监督
充电桩收费	管理费
物业管理不规范的问题	安全秩序没保障
小区保安随便放进人	安全秩序没保障
小区大门门禁系统故障，影响居民出行/保密	态度与规范
未经业主同意，海淀区园林局强制将小区内公园改为公共绿地并对外开放，居民对此意见大	入户维修态度及质量差
物业不作为等问题	威胁恐吓业主
投诉物业	态度与规范
花园停放汽车不合理	秩序混乱
物业提供停车系统无法识别车辆问题	质量和水平
物业乱收费	管理费
物业乱收费问题	管理费
收取可回收废品	垃圾清运费
北京市反诈骗中心封停手机号“12319热线来电”	工作效率低
物业服务质量问题	态度与规范
小区内停车混乱的问题	秩序混乱
清苑嘉园安装栅栏不合理	申请与使用
涉及物业问题#微博#	态度与规范
北京索菲特大酒店保安无健康体检证#市政府门户网站互动交流平台#	保安不当行为
和平里街道办事处综合治理部门至今不给安装摄像头	安全秩序没保障
帮助使用北京业主APP	受破坏及法律权益保障
希望在小区内增设探头进行全覆盖	监控实施损坏
小区管理混乱	日常服务不到位
希望清理青桔的共享单车	质量和水平
物业没有经过业主的同意更改了小区的物业费收费标准	物业费
小区停车物业实行双标准收费且收费价格高，希望尽快解决	收费不合理
物业涨物业费不合理	物业费
希望小区内的平房和楼房一样享受维修的待	申请与使用
投诉物业公司乱收费	垃圾清运费
物业不使用维修基金维修房门不合理	申请与使用
希望帮助协调安装摄像头	监控实施损坏
私自动用维修基金	申请与使用
迟迟不给物业备用门禁卡	日常服务不到位
公寓是否要交公共维修基金	缴纳与监管
物业收费不合理	管理费
投诉物业保安经理服务态度差	态度与规范
华油燃气营业点下班时间过早	工作效率低
明春苑小区东园物业不给更换阀门	日常服务不到位
未与业主协商在电梯间安装广告不合理问题	态度与规范
私自改装/保密	管理简单粗暴
核实封锁自行车棚不合理问题	安全没保障
物业不修缮楼道的问题	入户维修态度及质量差
希望开发商尽快退还公共维修基金	缴纳与监管
物业私自安装闸机	权力运作及监督
缴纳公共维修基金不合理问题	缴纳与监管
私自占用公共车位	秩序混乱
咨询物业动用维修基金是否需要业主签字	物业费
反映物业不作为和选择性作为的问题	态度与规范
希望物业加强对小区的管理	日常服务不到位
物业管理停车秩序混乱	秩序混乱
门禁损坏	日常服务不到位
恩济庄派出所不作为	管理简单粗暴
居委会阻挠成立业主居委会的问题	组织、推选
物业要装修保证金不合理	管理费
投诉周庄家园南里物业	收费不合理
卫生费不合理	物业费
物业不作为问题	物业费
希望北辰福第小区安装监控	监控实施损坏
小区收停车费不合理问题	管理费
物业强制收取维修金	管理费
翠微北里小区没有摄像头	监控实施损坏
停车难的问题	秩序混乱
停车场紧挨着居民楼建设不合理	安全没保障
安全秩序没保障	安全秩序没保障
